port_name,type,number,geometry,H3_int_index_13,H3_int_index_10,H3_int_index_7
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306169023,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306754943,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306115135,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306114815,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306168895,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306754687,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306124543,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306170303,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306169279,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306124415,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306755391,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306167231,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306124351,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306167039,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306122623,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306167871,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306122559,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306755519,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306170111,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306115519,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306122495,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306167167,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306169087,,
