port_name,type,number,geometry,H3_int_index_13,H3_int_index_10,H3_int_index_7
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942869247,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942744191,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942743423,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942869375,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942744383,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942744447,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942743231,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942869055,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942864511,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942743487,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942741375,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942869951,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942743935,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942869183,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942865855,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942743295,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942865663,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942743359,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942869823,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942744319,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942869311,,
Fujayrah harbor,berth,1,"POLYGON ((56.36311667 25.18948333, 56.36291167 25.18959, 56.36306667 25.18983333, 56.3631 25.18986667, 56.36333333 25.19, 56.36331667 25.18953333, 56.36328333 25.18948333, 56.36311667 25.18948333))",636197809942744127,,
