port_name,type,number,geometry,H3_int_index_14,H3_int_index_7
Fujayrah harbor,berth,1,"POLYGON ((56.3669 25.18633167, 56.36684667 25.18633333, 56.36682333 25.186345, 56.36671167 25.186405, 56.36669667 25.18644333, 56.36669 25.18648, 56.36670167 25.18652667, 56.36681833 25.18666833, 56.36689 25.18669, 56.36691333 25.186685, 56.36693833 25.18665833, 56.36697 25.186595, 56.36693333 25.18640167, 56.3669 25.18633167))",640701409573577239,
Fujayrah harbor,berth,1,"POLYGON ((56.3669 25.18633167, 56.36684667 25.18633333, 56.36682333 25.186345, 56.36671167 25.186405, 56.36669667 25.18644333, 56.36669 25.18648, 56.36670167 25.18652667, 56.36681833 25.18666833, 56.36689 25.18669, 56.36691333 25.186685, 56.36693833 25.18665833, 56.36697 25.186595, 56.36693333 25.18640167, 56.3669 25.18633167))",640701409573577639,
Fujayrah harbor,berth,1,"POLYGON ((56.3669 25.18633167, 56.36684667 25.18633333, 56.36682333 25.186345, 56.36671167 25.186405, 56.36669667 25.18644333, 56.36669 25.18648, 56.36670167 25.18652667, 56.36681833 25.18666833, 56.36689 25.18669, 56.36691333 25.186685, 56.36693833 25.18665833, 56.36697 25.186595, 56.36693333 25.18640167, 56.3669 25.18633167))",640701409573576871,
Fujayrah harbor,berth,1,"POLYGON ((56.3669 25.18633167, 56.36684667 25.18633333, 56.36682333 25.186345, 56.36671167 25.186405, 56.36669667 25.18644333, 56.36669 25.18648, 56.36670167 25.18652667, 56.36681833 25.18666833, 56.36689 25.18669, 56.36691333 25.186685, 56.36693833 25.18665833, 56.36697 25.186595, 56.36693333 25.18640167, 56.3669 25.18633167))",640701409573577807,
Fujayrah harbor,berth,1,"POLYGON ((56.3669 25.18633167, 56.36684667 25.18633333, 56.36682333 25.186345, 56.36671167 25.186405, 56.36669667 25.18644333, 56.36669 25.18648, 56.36670167 25.18652667, 56.36681833 25.18666833, 56.36689 25.18669, 56.36691333 25.186685, 56.36693833 25.18665833, 56.36697 25.186595, 56.36693333 25.18640167, 56.3669 25.18633167))",640701409573577735,
Fujayrah harbor,berth,1,"POLYGON ((56.3669 25.18633167, 56.36684667 25.18633333, 56.36682333 25.186345, 56.36671167 25.186405, 56.36669667 25.18644333, 56.36669 25.18648, 56.36670167 25.18652667, 56.36681833 25.18666833, 56.36689 25.18669, 56.36691333 25.186685, 56.36693833 25.18665833, 56.36697 25.186595, 56.36693333 25.18640167, 56.3669 25.18633167))",640701409573578527,
Fujayrah harbor,berth,1,"POLYGON ((56.3669 25.18633167, 56.36684667 25.18633333, 56.36682333 25.186345, 56.36671167 25.186405, 56.36669667 25.18644333, 56.36669 25.18648, 56.36670167 25.18652667, 56.36681833 25.18666833, 56.36689 25.18669, 56.36691333 25.186685, 56.36693833 25.18665833, 56.36697 25.186595, 56.36693333 25.18640167, 56.3669 25.18633167))",640701409573576863,
Fujayrah harbor,berth,1,"POLYGON ((56.3669 25.18633167, 56.36684667 25.18633333, 56.36682333 25.186345, 56.36671167 25.186405, 56.36669667 25.18644333, 56.36669 25.18648, 56.36670167 25.18652667, 56.36681833 25.18666833, 56.36689 25.18669, 56.36691333 25.186685, 56.36693833 25.18665833, 56.36697 25.186595, 56.36693333 25.18640167, 56.3669 25.18633167))",640701409573577623,
Fujayrah harbor,berth,1,"POLYGON ((56.3669 25.18633167, 56.36684667 25.18633333, 56.36682333 25.186345, 56.36671167 25.186405, 56.36669667 25.18644333, 56.36669 25.18648, 56.36670167 25.18652667, 56.36681833 25.18666833, 56.36689 25.18669, 56.36691333 25.186685, 56.36693833 25.18665833, 56.36697 25.186595, 56.36693333 25.18640167, 56.3669 25.18633167))",640701409573578295,
Fujayrah harbor,berth,1,"POLYGON ((56.3669 25.18633167, 56.36684667 25.18633333, 56.36682333 25.186345, 56.36671167 25.186405, 56.36669667 25.18644333, 56.36669 25.18648, 56.36670167 25.18652667, 56.36681833 25.18666833, 56.36689 25.18669, 56.36691333 25.186685, 56.36693833 25.18665833, 56.36697 25.186595, 56.36693333 25.18640167, 56.3669 25.18633167))",640701409562893087,
