imo,type,number,start,end,Deadweight,ShiptypeLevel5,typnum,vessel_class,time_in,trip_number
9779965.0,berth,3,2021-01-01 00:00:51,2021-01-01 15:27:06,113563.0,Crude Oil Tanker,berth3,Aframax,0 days 15:26:15,1
9853400.0,berth,1,2021-01-01 19:57:28,2021-01-03 03:32:22,112802.0,Crude/Oil Products Tanker,berth1,Aframax,1 days 07:34:54,1
9722900.0,berth,2,2021-01-03 13:31:37,2021-01-04 19:38:09,299629.0,Crude Oil Tanker,berth2,VLCC,1 days 06:06:32,1
9377418.0,berth,4,2021-01-03 19:31:02,2021-01-04 18:25:54,297958.0,Crude Oil Tanker,berth4,VLCC,0 days 22:54:52,1.0
9377418.0,anchorage,1,2021-01-04 18:43:44,2021-01-04 18:49:57,297958.0,Crude Oil Tanker,anchorage3,VLCC,0 days 00:06:13,
9722900.0,anchorage,1,2021-01-04 19:59:00,2021-01-04 22:35:23,299629.0,Crude Oil Tanker,anchorage6,VLCC,0 days 02:36:23,2
9722900.0,berth,5,2021-01-04 23:03:34,2021-01-06 12:54:33,299629.0,Crude Oil Tanker,berth5,VLCC,1 days 13:50:59,2
9597240.0,berth,2,2021-01-05 02:57:35,2021-01-06 16:38:04,299989.0,Crude Oil Tanker,berth2,VLCC,1 days 13:40:29,1
9724350.0,berth,2,2021-01-06 17:38:33,2021-01-07 22:01:50,112939.0,Crude Oil Tanker,berth2,Aframax,1 days 04:23:17,1
9737395.0,berth,3,2021-01-08 02:49:00,2021-01-08 23:39:44,113004.0,Crude Oil Tanker,berth3,Aframax,0 days 20:50:44,1
9799862.0,berth,1,2021-01-08 08:05:47,2021-01-09 03:10:28,115711.0,Crude/Oil Products Tanker,berth1,Aframax,0 days 19:04:41,1
9737383.0,berth,2,2021-01-08 15:58:15,2021-01-09 10:48:38,112949.0,Crude Oil Tanker,berth2,Aframax,0 days 18:50:23,1
9799862.0,anchorage,1,2021-01-09 03:26:57,2021-01-09 03:28:12,115711.0,Crude/Oil Products Tanker,anchorage3,Aframax,0 days 00:01:15,2
9537745.0,berth,2,2021-01-10 00:00:29,2021-01-11 15:20:47,323183.0,Crude Oil Tanker,berth2,ULCC,1 days 15:20:18,1
9858486.0,berth,5,2021-01-11 15:36:40,2021-01-13 07:50:47,299999.0,Crude Oil Tanker,berth5,VLCC,1 days 16:14:07,1
9379624.0,berth,1,2021-01-12 00:45:56,2021-01-12 03:08:52,115760.0,Products Tanker,berth1,Aframax,0 days 02:22:56,1
9858486.0,berth,2,2021-01-13 11:25:30,2021-01-14 17:44:52,299999.0,Crude Oil Tanker,berth2,VLCC,1 days 06:19:22,2
9266877.0,anchorage,1,2021-01-13 18:00:34,2021-01-13 18:14:48,106021.0,Crude Oil Tanker,anchorage13,Aframax,0 days 00:14:14,1
9266877.0,berth,4,2021-01-13 20:15:14,2021-01-15 00:42:02,106021.0,Crude Oil Tanker,berth4,Aframax,1 days 04:26:48,1
9795074.0,anchorage,1,2021-01-15 12:58:26,2021-01-15 13:51:35,113049.0,Crude Oil Tanker,anchorage1,Aframax,0 days 00:53:09,1.0
9795074.0,berth,1,2021-01-15 14:11:45,2021-01-16 09:50:39,113049.0,Crude Oil Tanker,berth1,Aframax,0 days 19:38:54,1.0
9488839.0,anchorage,1,2021-01-15 21:44:40,2021-01-15 21:54:41,11215.0,Chemical/Products Tanker,anchorage7,Sub Handysize,0 days 00:10:01,
9795074.0,anchorage,1,2021-01-16 11:34:29,2021-01-16 11:46:29,113049.0,Crude Oil Tanker,anchorage9,Aframax,0 days 00:12:00,2.0
9371610.0,anchorage,1,2021-01-18 09:54:58,2021-01-19 11:15:13,16578.0,Chemical/Products Tanker,anchorage6,Sub Handysize,1 days 01:20:15,
9858450.0,berth,2,2021-01-18 12:00:54,2021-01-20 01:40:02,299999.0,Crude Oil Tanker,berth2,VLCC,1 days 13:39:08,1
9799862.0,berth,4,2021-01-19 10:54:24,2021-01-20 11:29:40,115711.0,Crude/Oil Products Tanker,berth4,Aframax,1 days 00:35:16,2
9461764.0,berth,3,2021-01-19 11:43:43,2021-01-20 21:25:31,164715.0,Crude Oil Tanker,berth3,Suezmax,1 days 09:41:48,1
9724075.0,berth,1,2021-01-20 09:59:22,2021-01-21 11:36:17,113736.0,Crude Oil Tanker,berth1,Aframax,1 days 01:36:55,1
9853400.0,berth,4,2021-01-20 22:47:37,2021-01-21 23:15:03,112802.0,Crude/Oil Products Tanker,berth4,Aframax,1 days 00:27:26,2
9307671.0,anchorage,1,2021-01-20 23:15:49,2021-01-20 23:19:24,16607.0,Chemical/Products Tanker,anchorage7,Sub Handysize,0 days 00:03:35,
9411185.0,berth,3,2021-01-21 23:56:55,2021-01-22 17:40:56,105361.0,Crude Oil Tanker,berth3,Aframax,0 days 17:44:01,1
9773765.0,berth,2,2021-01-22 11:27:19,2021-01-23 10:21:29,112179.0,Crude Oil Tanker,berth2,Aframax,0 days 22:54:10,1
9786633.0,anchorage,1,2021-01-23 02:24:20,2021-01-23 02:32:45,9921.0,Asphalt/Bitumen Tanker,anchorage6,Sub Handysize,0 days 00:08:25,
9841615.0,berth,2,2021-01-23 17:22:19,2021-01-24 18:28:22,149995.0,Crude Oil Tanker,berth2,Suezmax,1 days 01:06:03,1
9782522.0,anchorage,1,2021-01-24 19:56:05,2021-01-24 20:28:20,312328.0,Crude Oil Tanker,anchorage5,VLCC,0 days 00:32:15,1
9724350.0,berth,4,2021-01-24 22:28:40,2021-01-27 08:22:41,112939.0,Crude Oil Tanker,berth4,Aframax,2 days 09:54:01,2
9782522.0,berth,2,2021-01-24 23:13:18,2021-01-27 07:18:03,312328.0,Crude Oil Tanker,berth2,VLCC,2 days 08:04:45,1
9321603.0,anchorage,1,2021-01-25 20:48:20,2021-01-25 21:40:20,4410.0,Products Tanker,anchorage10,Sub Handysize,0 days 00:52:00,
9853266.0,berth,1,2021-01-26 10:28:15,2021-01-27 14:26:55,109998.0,Crude/Oil Products Tanker,berth1,Aframax,1 days 03:58:40,1
9737383.0,berth,4,2021-01-27 12:28:08,2021-01-28 12:33:12,112949.0,Crude Oil Tanker,berth4,Aframax,1 days 00:05:04,2
9731157.0,berth,2,2021-01-27 14:05:52,2021-01-29 11:02:18,299337.0,Crude Oil Tanker,berth2,VLCC,1 days 20:56:26,1
9737383.0,anchorage,1,2021-01-28 14:02:46,2021-01-28 14:02:56,112949.0,Crude Oil Tanker,anchorage7,Aframax,0 days 00:00:10,3
9394947.0,berth,3,2021-01-29 17:06:57,2021-01-30 17:43:20,112990.0,Crude Oil Tanker,berth3,Aframax,1 days 00:36:23,1.0
9470131.0,berth,2,2021-01-30 14:17:30,2021-01-31 19:30:14,115984.0,Crude Oil Tanker,berth2,Aframax,1 days 05:12:44,1
9394947.0,anchorage,1,2021-01-31 07:34:01,2021-01-31 07:44:01,112990.0,Crude Oil Tanker,anchorage13,Aframax,0 days 00:10:00,
9724350.0,berth,1,2021-01-31 22:01:00,2021-02-01 18:27:35,112939.0,Crude Oil Tanker,berth1,Aframax,0 days 20:26:35,3
9732541.0,berth,2,2021-02-02 07:44:16,2021-02-04 10:02:10,299011.0,Crude Oil Tanker,berth2,VLCC,2 days 02:17:54,1
9795074.0,berth,4,2021-02-03 03:08:14,2021-02-04 04:56:54,113049.0,Crude Oil Tanker,berth4,Aframax,1 days 01:48:40,2.0
9724336.0,berth,1,2021-02-03 16:42:56,2021-02-04 18:02:39,113611.0,Crude Oil Tanker,berth1,Aframax,1 days 01:19:43,1
