imo,typnum,visit_num,start,end,Deadweight,ShiptypeLevel5,type,number,time_difference,port_name
9760500.0,berth1,0,2022-06-14 13:17:21,2022-06-15 07:43:04,106359.0,Crude Oil Tanker,berth,1,0 days 18:25:43,MONGSTAD
9892432.0,berth2,0,2022-06-28 10:11:47,2022-06-29 10:33:53,112459.0,Crude Oil Tanker,berth,2,1 days 00:22:06,MONGSTAD
9892432.0,berth2,1,2022-11-06 13:31:35,2022-11-07 10:21:47,112459.0,Crude Oil Tanker,berth,2,0 days 20:50:12,MONGSTAD
9724350.0,berth4,0,2022-09-20 11:41:54,2022-09-21 07:16:46,112939.0,Crude Oil Tanker,berth,4,0 days 19:34:52,MONGSTAD
9724350.0,berth4,1,2022-11-29 13:47:20,2022-11-30 12:22:47,112939.0,Crude Oil Tanker,berth,4,0 days 22:35:27,MONGSTAD
,berth3,3,2022-08-08 00:43:07,2022-08-13 16:58:23,,,berth,3,5 days 16:15:16,MONGSTAD
,berth3,7,2022-10-28 18:44:15,2022-10-30 04:54:33,,,berth,3,1 days 10:10:18,MONGSTAD
,berth3,9,2022-12-08 02:13:20,2022-12-12 22:21:12,,,berth,3,4 days 20:07:52,MONGSTAD
,berth3,10,2022-12-18 12:04:51,2022-12-20 22:47:12,,,berth,3,2 days 10:42:21,MONGSTAD
9292515.0,berth1,0,2022-08-19 17:05:44,2022-08-20 17:53:45,115525.0,Crude Oil Tanker,berth,1,1 days 00:48:01,MONGSTAD
9437983.0,berth1,0,2022-10-29 06:42:04,2022-10-30 04:11:07,109005.0,Crude Oil Tanker,berth,1,0 days 21:29:03,MONGSTAD
9676137.0,berth1,0,2022-08-11 20:34:07,2022-08-12 19:03:38,120567.0,Shuttle Tanker,berth,1,0 days 22:29:31,MONGSTAD
9676137.0,berth1,1,2022-10-12 06:54:28,2022-10-13 10:29:52,120567.0,Shuttle Tanker,berth,1,1 days 03:35:24,MONGSTAD
9693745.0,berth1,0,2022-12-28 10:52:35,2022-12-30 10:17:18,320926.0,Crude Oil Tanker,berth,1,1 days 23:24:43,MONGSTAD
9676125.0,berth3,0,2022-06-15 22:53:17,2022-06-16 22:35:24,119690.0,Shuttle Tanker,berth,3,0 days 23:42:07,MONGSTAD
9776755.0,berth1,0,2022-10-31 10:48:18,2022-11-01 08:53:26,112829.0,Crude Oil Tanker,berth,1,0 days 22:05:08,MONGSTAD
9577044.0,berth3,0,2022-11-09 20:12:25,2022-11-10 14:24:25,116619.0,Crude Oil Tanker,berth,3,0 days 18:12:00,MONGSTAD
9795062.0,berth3,0,2022-12-06 20:48:26,2022-12-07 17:25:33,113416.0,Crude Oil Tanker,berth,3,0 days 20:37:07,MONGSTAD
9886718.0,berth3,0,2022-11-26 15:41:00,2022-11-27 09:39:41,114085.0,Crude Oil Tanker,berth,3,0 days 17:58:41,MONGSTAD
9886718.0,berth3,1,2022-12-08 01:48:10,2022-12-09 06:16:45,114085.0,Crude Oil Tanker,berth,3,1 days 04:28:35,MONGSTAD
9676137.0,berth4,0,2022-08-06 07:11:07,2022-08-07 07:40:10,120567.0,Shuttle Tanker,berth,4,1 days 00:29:03,MONGSTAD
9676137.0,berth4,1,2022-09-27 18:22:45,2022-09-28 16:17:37,120567.0,Shuttle Tanker,berth,4,0 days 21:54:52,MONGSTAD
9892432.0,berth1,0,2022-08-24 21:46:20,2022-08-26 02:25:09,112459.0,Crude Oil Tanker,berth,1,1 days 04:38:49,MONGSTAD
9892432.0,berth1,1,2022-10-26 23:52:27,2022-10-27 21:04:34,112459.0,Crude Oil Tanker,berth,1,0 days 21:12:07,MONGSTAD
9892432.0,berth1,2,2022-11-18 11:02:52,2022-11-19 09:38:23,112459.0,Crude Oil Tanker,berth,1,0 days 22:35:31,MONGSTAD
9892432.0,berth1,3,2022-12-20 11:50:59,2022-12-21 09:03:47,112459.0,Crude Oil Tanker,berth,1,0 days 21:12:48,MONGSTAD
9779965.0,berth2,0,2022-10-31 10:47:34,2022-11-01 08:13:16,113563.0,Crude Oil Tanker,berth,2,0 days 21:25:42,MONGSTAD
9783899.0,berth2,0,2022-08-13 14:49:02,2022-08-14 12:20:18,108524.0,Crude Oil Tanker,berth,2,0 days 21:31:16,MONGSTAD
9779939.0,berth3,0,2022-12-20 22:33:07,2022-12-22 06:59:52,113689.0,Crude/Oil Products Tanker,berth,3,1 days 08:26:45,MONGSTAD
9683049.0,berth4,0,2022-07-05 08:09:25,2022-07-07 00:52:05,109475.0,Crude Oil Tanker,berth,4,1 days 16:42:40,MONGSTAD
9724075.0,berth4,0,2022-07-12 12:01:46,2022-07-13 11:04:12,113736.0,Crude Oil Tanker,berth,4,0 days 23:02:26,MONGSTAD
9724075.0,berth4,1,2022-08-14 16:40:05,2022-08-15 18:49:05,113736.0,Crude Oil Tanker,berth,4,1 days 02:09:00,MONGSTAD
9779953.0,berth4,0,2022-09-18 09:57:21,2022-09-19 07:21:32,113563.0,Crude Oil Tanker,berth,4,0 days 21:24:11,MONGSTAD
9780251.0,berth4,0,2022-12-12 22:09:57,2022-12-13 21:22:15,109900.0,Crude/Oil Products Tanker,berth,4,0 days 23:12:18,MONGSTAD
9305556.0,berth1,0,2022-10-05 16:38:58,2022-10-06 11:35:32,117099.0,Crude Oil Tanker,berth,1,0 days 18:56:34,MONGSTAD
9759757.0,berth1,0,2022-06-15 12:15:38,2022-06-16 15:37:44,157460.0,Crude Oil Tanker,berth,1,1 days 03:22:06,MONGSTAD
9314105.0,berth3,0,2022-07-26 12:44:28,2022-07-27 12:51:56,107081.0,Crude Oil Tanker,berth,3,1 days 00:07:28,MONGSTAD
9724087.0,berth3,0,2022-07-22 16:27:44,2022-07-23 13:12:05,113737.0,Crude Oil Tanker,berth,3,0 days 20:44:21,MONGSTAD
9772931.0,berth3,0,2022-11-19 19:37:47,2022-11-20 21:15:26,158455.0,Crude Oil Tanker,berth,3,1 days 01:37:39,MONGSTAD
,berth4,0,2022-06-03 14:38:29,2022-06-08 14:13:12,,,berth,4,4 days 23:34:43,MONGSTAD
,berth4,2,2022-06-20 18:43:22,2022-06-24 00:18:04,,,berth,4,3 days 05:34:42,MONGSTAD
,berth4,3,2022-07-28 06:32:16,2022-07-31 12:17:20,,,berth,4,3 days 05:45:04,MONGSTAD
