min_pts,eps,n_cluster,sil_score
3,10,108,0.0817847133293717
6,10,56,-0.038362422356363134
9,10,38,-0.10173179259470655
12,10,28,-0.21663967779853843
15,10,19,-0.30279614203990735
3,20,56,-0.12818055683010127
6,20,43,-0.018790405205983893
9,20,32,-0.03789486760374065
12,20,27,-0.0074145599357396215
15,20,19,-0.02950156896490738
3,30,42,-0.26318780078611975
6,30,23,-0.20780293255705493
9,30,22,0.16021772960768518
12,30,23,0.14372620948455278
15,30,16,0.15496362169347708
3,40,31,-0.2951448692736873
6,40,21,-0.2108713784391738
9,40,15,-0.11046986005991681
12,40,15,-0.0790586988999629
15,40,14,0.28245522538662476
3,50,23,-0.27198112322379037
6,50,15,-0.21195333322244883
9,50,12,-0.02439055779059379
12,50,13,-0.024173854374332896
15,50,13,-0.04073726186399601
3,60,19,-0.2495104975814723
6,60,13,-0.16682831344037644
9,60,11,-0.013055316536156259
12,60,10,-0.014449408416144647
15,60,10,0.020233250892734683
3,70,17,-0.22323216824556635
6,70,11,-0.07356936937394454
9,70,9,0.05799268211775357
12,70,8,0.049829237765591096
15,70,7,0.10753826474325445
3,80,15,-0.16013268939707664
6,80,9,0.05642356950445118
9,80,9,0.03619242856253509
12,80,8,0.05574594914887282
15,80,6,0.1328864407755803
3,90,14,-0.14326894692906658
6,90,9,0.04914841317153758
9,90,9,0.03801864347557604
12,90,7,0.10791944712895286
15,90,7,0.08844621577571157
3,100,14,-0.14326894692906658
6,100,9,0.04914841317153758
9,100,8,0.1110131915717109
12,100,7,0.11221182800826096
15,100,6,0.1439364045546404
3,110,13,-0.14034090459195983
6,110,9,0.05612450645260703
9,110,8,0.11707125004722575
12,110,7,0.11909529643723561
15,110,6,0.1488571794421436
3,120,12,-0.108991649039307
6,120,9,0.06448170715615086
9,120,8,0.12398636137796942
12,120,7,0.12557171712183635
15,120,6,0.1552705331510159
3,130,12,-0.10857470765243868
6,130,9,0.06671711215862201
9,130,8,0.12581505538119697
12,130,7,0.13085813941389232
15,130,6,0.16184864944232888
3,140,9,0.016437361331827334
6,140,7,0.10572752644743884
9,140,6,0.184950301329912
12,140,5,0.3777115076379957
15,140,5,0.3780788606600729
3,150,8,0.051882202699283314
6,150,6,0.1466991129360391
9,150,5,0.2251226471539575
12,150,4,0.4134162798312654
15,150,4,0.4134162798312654
3,160,6,0.10990702721757321
6,160,5,0.2104551776030456
9,160,5,0.19702515335631024
12,160,4,0.3942496346996419
15,160,4,0.3942496346996419
3,170,3,0.8064393547399091
6,170,3,0.8064393547399091
9,170,3,0.8064393547399091
12,170,3,0.8064393547399091
15,170,3,0.6819880126935342
3,180,3,0.8064393547399091
6,180,3,0.8064393547399091
9,180,3,0.8064393547399091
12,180,3,0.8064393547399091
15,180,3,0.8064393547399091
3,190,3,0.8064393547399091
6,190,3,0.8064393547399091
9,190,3,0.8064393547399091
12,190,3,0.8064393547399091
15,190,3,0.8064393547399091
3,200,3,0.8064393547399091
6,200,3,0.8064393547399091
9,200,3,0.8064393547399091
12,200,3,0.8064393547399091
15,200,3,0.8064393547399091
3,210,3,0.8064393547399091
6,210,3,0.8064393547399091
9,210,3,0.8064393547399091
12,210,3,0.8064393547399091
15,210,3,0.8064393547399091
3,220,3,0.8064393547399091
6,220,3,0.8064393547399091
9,220,3,0.8064393547399091
12,220,3,0.8064393547399091
15,220,3,0.8064393547399091
3,230,3,0.8064393547399091
6,230,3,0.8064393547399091
9,230,3,0.8064393547399091
12,230,3,0.8064393547399091
15,230,3,0.8064393547399091
3,240,3,0.8064393547399091
6,240,3,0.8064393547399091
9,240,3,0.8064393547399091
12,240,3,0.8064393547399091
15,240,3,0.8064393547399091
3,250,3,0.8064393547399091
6,250,3,0.8064393547399091
9,250,3,0.8064393547399091
12,250,3,0.8064393547399091
15,250,3,0.8064393547399091
3,260,3,0.8064393547399091
6,260,3,0.8064393547399091
9,260,3,0.8064393547399091
12,260,3,0.8064393547399091
15,260,3,0.8064393547399091
3,270,3,0.8064393547399091
6,270,3,0.8064393547399091
9,270,3,0.8064393547399091
12,270,3,0.8064393547399091
15,270,3,0.8064393547399091
3,280,3,0.8064393547399091
6,280,3,0.8064393547399091
9,280,3,0.8064393547399091
12,280,3,0.8064393547399091
15,280,3,0.8064393547399091
3,290,3,0.8064393547399091
6,290,3,0.8064393547399091
9,290,3,0.8064393547399091
12,290,3,0.8064393547399091
15,290,3,0.8064393547399091
