port_name,type,number,geometry,H3_int_index_13,H3_int_index_10,H3_int_index_7
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310478583615,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310478583359,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310478582911,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310478583231,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310478582847,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310479169663,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310478583679,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310479170175,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310478583103,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310478584959,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310479170111,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310478583743,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310479169727,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310478583167,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310479169599,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310478582975,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310479170431,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310479169791,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310478583551,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310478581823,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310478585087,,
Ras  tannurah,berth,1,"POLYGON ((50.18204833 26.67159667, 50.18166667 26.67166667, 50.18205833 26.671965, 50.18209833 26.67196167, 50.18216667 26.67186667, 50.1822 26.67173333, 50.18218333 26.67168333, 50.18213 26.67160667, 50.18204833 26.67159667))",636475310478582015,,
