feature,linear_regression,lasso_regression,ridge_regression,support_vector_regression,random_forest,xgboost,summed_value,port_name
sum_dwt_lag24,3.543589500324382e-14,0.007173776062280684,0.008581774238909438,0.007385340419695054,0.11855512351407349,0.03507932491894564,0.17677533915393975,al_basrah
total_vessels_anchor_lag6,0.12924088789843713,0.0,0.0038294052780655768,0.004818992926073178,0.0036517225609369102,0.012549784119732184,0.15409079278324497,al_basrah
sum_dwt_lag12,2.9220135867747256e-14,0.00045602299017147166,0.005188649357156156,0.007925996057824744,0.07396171083681762,0.03494151510514816,0.12247389434714737,al_basrah
n_VLCC_lag6,0.09085821464747533,0.001097873549243557,0.0037224182904143617,0.007554997921155908,0.0034916195043841565,0.008152486279495675,0.114877610192169,al_basrah
hour_of_day_13,0.00013158641728550584,0.033848416353059914,0.029474723683443844,0.026769753886104995,0.00847823554217449,0.013546104558070371,0.11224882044013913,al_basrah
n_Suezmax_lag12,0.022851470734937165,0.013919148089123324,0.01120028329620802,0.01757073755090956,0.018531988234499377,0.02174928711886867,0.10582291502454612,al_basrah
hour_of_day_12,0.00013158641728450743,0.031624958222992855,0.02744886745794031,0.026960268339888977,0.006379595684375411,0.013014095323333748,0.1055593714458158,al_basrah
n_Suezmax_lag6,0.08530175022575505,0.0,0.00046265970787346306,0.0034188503857711275,0.004902757906127578,0.00871596777446406,0.10280198599999127,al_basrah
hour_of_day_1,0.00013158641719887026,0.03608526664425131,0.028777449844711263,0.021140325311835538,0.0012854821217625975,0.013814418937670749,0.10123452927743032,al_basrah
total_vessels_anchor_lag12,0.0365501370133888,0.007478738072899815,0.005674795614936757,0.011267060933892632,0.024009994332050383,0.014908434319248737,0.09988916028641713,al_basrah
total_vessels_anchor_lag0,0.041145178282533744,0.01734050374893628,0.010245931164202925,0.011605524353144337,0.005759656285748478,0.011335892078310006,0.09743268591287578,al_basrah
hour_of_day_3,0.0001315864172028201,0.032883249070602055,0.02653008119835268,0.018989548939483566,0.0016862873111492672,0.011617836054873707,0.0918385889916641,al_basrah
hour_of_day_23,0.00013158641721482342,0.025272849180277862,0.0204794515717095,0.032236012537202034,0.001598260874318029,0.01211828953797321,0.09183645011869546,al_basrah
total_vessels_anchor_lag24,0.012834758383019647,0.018769727662074978,0.007451307491425655,0.010775818464992353,0.030627483498099926,0.010458851361265124,0.09091794686087767,al_basrah
mean_wait_time72,9.164028976141125e-15,0.008237046409256165,0.007159112712098034,0.009676348259211697,0.043899683067066535,0.015872059123289824,0.08484424957093142,al_basrah
hour_of_day_14,0.0001315864172725965,0.021267507714344235,0.019882486839198448,0.02451233004746309,0.0016682139338324096,0.013882420937515133,0.08134454588962592,al_basrah
hour_of_day_0,0.00013158641721091973,0.02696911635144556,0.021867785036500758,0.017997481142513653,0.001427755810490801,0.009635837082715027,0.07802956184087671,al_basrah
month_of_year_August,0.00023310136811374258,0.0211624474518373,0.020980704712712416,0.01582921575088423,0.002016049644550181,0.016957634373698606,0.07717915330179648,al_basrah
Deadweight,1.933873590157053e-15,0.004191181279714324,0.003942582410044691,0.005164533503737254,0.05381228968745988,0.009214311474745529,0.07632489835570361,al_basrah
sum_dwt_lag0,1.297018556463055e-13,0.008223823454315653,0.004270129160155487,0.011114487443434308,0.03872939394718098,0.013557684366039872,0.075895518371256,al_basrah
n_Suezmax_lag48,0.008984880705826788,0.006740317923727463,0.005393267533993948,0.0029333688975068943,0.0194780837559531,0.028401712315308515,0.07193163113231671,al_basrah
hour_of_day_22,0.0001315864172225814,0.017168122434026305,0.014042283562428752,0.02481275148502773,0.0016518265125663387,0.013698507869606805,0.07150507828087851,al_basrah
SPM_4_dwt,2.1249181866903315e-14,0.014418067526303225,0.013779551948698556,0.012869096408741626,0.018152906932480825,0.011789478385937056,0.07100910120218254,al_basrah
SPM_2_dwt,3.2354489476991766e-14,0.021399422367284884,0.01933803397752363,0.00803971057155256,0.012531542444702795,0.0070215966937643955,0.06833030605486062,al_basrah
SPM_2_vessel_class,3.735098402120158e-14,0.02592969942207775,0.023334926249830933,0.012875371989796228,0.0012434265419386595,0.0036143869334277785,0.0669978111371087,al_basrah
ShiptypeLevel5_Crude Oil Tanker,0.015039012428787397,0.027570242610966897,0.020289070539931123,0.0034702848855820818,5.658776698987935e-05,0.0,0.06642519823225738,al_basrah
berth_2_time,1.606698245188138e-14,0.01312823055654766,0.011866337137643554,0.01550581696897729,0.017504175607310848,0.008218892943564624,0.06622345321406004,al_basrah
hour_of_day_19,0.0001315864172702745,0.01817603460379425,0.017833807834757034,0.019016710409128997,0.003391464586252686,0.0076318943694546545,0.0661814982206579,al_basrah
berth_4_vessel_class,3.14358975936163e-14,0.02246254447884799,0.02023826907378291,0.014238729490106381,0.0012620323634245875,0.007467620279901303,0.0656691956860946,al_basrah
hour_of_day_9,0.00013158641727065108,0.019093372125594733,0.017965416986314407,0.015624993445935383,0.0024025991057426395,0.009048267567377997,0.06426623564823582,al_basrah
berth_1_time,1.270639200292482e-14,0.01073058620350538,0.00956736874665281,0.014570572994115094,0.018653247266102194,0.009622254480913998,0.06314402969130219,al_basrah
berth_4_dwt,2.2571441046100035e-14,0.015859273589797822,0.014126389606326093,0.007169211023738397,0.016383745194089545,0.009368437608933845,0.06290705702290827,al_basrah
n_Suezmax_lag0,0.025893923901024532,0.005650727843768186,0.00939882373947537,0.010483657463843957,0.004161949181593477,0.004693641834456093,0.060282723964161615,al_basrah
hour_of_day_6,0.00013158641721557887,0.0210997170248475,0.017541051826467674,0.016774965257758317,0.001182089748228565,0.0032158569582777775,0.05994526723279541,al_basrah
berth_3_time,1.1751421763911852e-14,0.009579770863347905,0.00874358270459321,0.009605679334551597,0.02293530935715885,0.007677443680588638,0.05854178594025195,al_basrah
month_of_year_November,0.00023310136816091122,0.01654327730823476,0.012819214116659981,0.01882139025216463,0.0020355687351036995,0.007630387524569926,0.05808293930489391,al_basrah
n_VLCC_lag0,0.028917524281802408,0.0,0.00634671448346385,0.0030665486753919256,0.0065093744350923155,0.012207267378555372,0.057047429254305865,al_basrah
n_Sub Handysize_lag12,0.0033627113938027803,0.014738906267272082,0.012544142368634664,0.01195751086818556,0.00010685948500103406,0.014195919665818886,0.05690605004871501,al_basrah
hour_of_day_2,0.00013158641722083763,0.01705139406739297,0.014363232777690136,0.009303360946715777,0.002014273094698803,0.013175378720750258,0.056039226024468786,al_basrah
SPM_2_time,9.065885254366282e-15,0.007889506368867956,0.007059706198596257,0.007442838692228375,0.022341988196391663,0.008482554802097555,0.05321659425819088,al_basrah
berth_3_vessel_class,2.0992644029057573e-14,0.0146220108099824,0.01367374713452422,0.011707836421041638,0.00165025777077894,0.011034235131008137,0.05268808726735633,al_basrah
hour_of_day_15,0.00013158641726839602,0.015681933806351384,0.015909228792688017,0.011641440650096105,0.0024239266623729337,0.006536262654262755,0.05232437898303959,al_basrah
sum_dwt_lag6,9.237314996648318e-14,0.011635411144412815,0.004169617724663842,0.006258707969392611,0.022275986622298353,0.007535469795442489,0.05187519325630248,al_basrah
SPM_3_dwt,2.1583195337141935e-14,0.013844083503237166,0.013011404890527042,0.001937187113529934,0.012203219575413482,0.010806495574617707,0.05180239065734692,al_basrah
berth_2_vessel_class,2.0636449465111544e-14,0.014391096424772508,0.014112632508143833,0.017926852686188863,0.0012690251585770356,0.0020049172379423747,0.04970452401564525,al_basrah
ShiptypeLevel5_Products Tanker,0.01503901242866114,0.011805675373289012,0.017681211719297638,0.00475822744337449,0.0003253099070759011,0.0,0.049609436871698186,al_basrah
n_VLCC_lag12,0.02519295750807448,0.005200215487065292,0.0012768437423187292,0.0020108739493997965,0.004816894435329897,0.011106900650787739,0.049604685772975936,al_basrah
berth_3_dwt,1.461014297405825e-14,0.009550945722535828,0.00903563822113808,0.0051929126123245566,0.017351638964147705,0.008204818892353612,0.04933595441251439,al_basrah
berth_1_dwt,1.1914299997492317e-14,0.008581156184081657,0.008908362178113438,0.009888971104600372,0.012139779854851767,0.008998235717678493,0.048516505039337646,al_basrah
n_Panamax_lag6,0.04843697141169387,0.0,0.0,0.0,0.0,0.0,0.04843697141169387,al_basrah
month_of_year_January,0.0002331013681635331,0.01820093244671264,0.014400103026421033,0.009098790917774376,0.0019094080299375791,0.0042552309646628345,0.048097566753671994,al_basrah
n_ULCC_lag6,0.0317516402185726,0.0036695526889727165,0.005068973826278325,0.0057701784039092836,0.0007228891520900025,0.0,0.046983234289822935,al_basrah
SPM_1_time,9.326906797589616e-15,0.007647261907719477,0.006925682110901821,0.007082699810034502,0.016441198042683566,0.007067712446588624,0.04516455431793732,al_basrah
mean_wait_time12,7.1032945478892175e-15,0.005473028656166122,0.004994425530681206,0.007167245468668063,0.020184301705496326,0.006962764250001896,0.044781765611020714,al_basrah
n_Panamax_lag0,0.04472891357478106,0.0,0.0,0.0,0.0,0.0,0.04472891357478106,al_basrah
month_of_year_April,0.000233101368156166,0.01228051602584947,0.009084010259648771,0.00965167944601792,0.0017233717364352735,0.009882406700730675,0.04285508553683828,al_basrah
month_of_year_June,0.000233101368128425,0.009372197950057132,0.01126643352236261,0.014160523219345035,0.0011556517332935636,0.006541722592214354,0.042729630385401125,al_basrah
month_of_year_July,0.00023310136815526492,0.013428568803036915,0.009796466927982486,0.003353818511055175,0.0023675045984573903,0.01347749962029268,0.042656959828979914,al_basrah
SPM_4_vessel_class,1.7289531902664113e-14,0.01086229584470955,0.010858023349297474,0.007667111753542532,0.0018552818090424627,0.011122676026863624,0.04236538878347293,al_basrah
berth_4_time,8.770286529538014e-15,0.0061785864023238355,0.0059365777756399995,0.008082540598754056,0.013146420976103947,0.008089920220073205,0.04143404597290381,al_basrah
SPM_3_vessel_class,2.180362812891394e-14,0.014093596056162226,0.013471757560270407,0.0014243461142363783,0.0008717839109983532,0.01133300237577725,0.04119448601746642,al_basrah
n_ULCC_lag0,0.009600187158868735,0.004645608377055517,0.006631790333937509,0.01697796830472735,0.0013688981210877485,0.0016678190639758835,0.04089227135965274,al_basrah
n_Suezmax_lag24,0.008059219202960839,5.3775878963034734e-05,0.005026427546289784,0.008801838289275908,0.007792528740380805,0.011134953762988096,0.04086874342085847,al_basrah
n_Aframax_lag6,0.025643840418285394,0.002318750285446941,0.0021910505015508073,0.0030051480802832167,0.000922131351858714,0.006513302017840714,0.040594222655265785,al_basrah
berth_2_dwt,7.583886082228834e-15,0.003215607475633594,0.004244955401970394,0.005925864892478731,0.016970445514093165,0.010027065809458733,0.0403839390936422,al_basrah
