feature,linear_regression,lasso_regression,ridge_regression,support_vector_regression,random_forest,xgboost,summed_value,port_name
sum_dwt_lag24,1.1077583569527194e-14,0.02349838253175441,0.011061892951675761,0.01071460757834705,0.1511623136572773,0.04638552869551342,0.24282272541457905,al_basrah_large
total_vessels_anchor_lag12,0.03454099698631072,0.019955444988345488,0.006785802424373202,0.013847727114542652,0.024925298019191376,0.06216270286355718,0.16221797239632063,al_basrah_large
hour_of_day_1,0.003715619320042412,0.04409885373674812,0.038342041513568376,0.03398370676195986,0.0016839434637686407,0.010062598842283294,0.1318867636383707,al_basrah_large
hour_of_day_12,0.003715619320053183,0.0370992071388174,0.027863655411042652,0.023265345150086193,0.003963877179977571,0.011155485922236742,0.10706319012221373,al_basrah_large
n_Suezmax_lag12,0.02174364072149218,0.01026526821009331,0.012617013371896194,0.02391775684598449,0.018564113050122025,0.017287509433327478,0.10439530163291567,al_basrah_large
total_vessels_anchor_lag0,0.041135496157919366,0.02541346357449546,0.011888910303668154,0.012965918205145095,0.005244317108087026,0.005037922412767389,0.10168602776208249,al_basrah_large
sum_dwt_lag12,4.5567770375090015e-16,0.0,0.007653276643759737,0.010150689642834321,0.06694389255577742,0.016478652477751626,0.10122651132012356,al_basrah_large
hour_of_day_13,0.0037156193200522203,0.028022870502169842,0.021072640817328046,0.02833882221692313,0.005298462901035766,0.00849546345496864,0.09494387921247764,al_basrah_large
hour_of_day_15,0.0037156193200526305,0.03161321872574687,0.02385042749265508,0.019121499242174867,0.0037038599171489092,0.006503295218934132,0.08850791991671249,al_basrah_large
total_vessels_anchor_lag48,0.04256066341666653,0.01544199746265055,0.0051946768806494775,0.0036968689785691587,0.00842869980295769,0.012982366147493837,0.08830527268898723,al_basrah_large
SPM_2_vessel_class,4.2968088840161665e-15,0.02624489344817635,0.023588049941820368,0.017406767174611353,0.0012642855993687092,0.017883330760171675,0.08638732692415275,al_basrah_large
hour_of_day_6,0.003715619320044763,0.02518424935753276,0.022923798353642628,0.02127255686333967,0.00062242377660873,0.011760414354470049,0.08547906202563861,al_basrah_large
month_of_year_August,0.004109883572060622,0.025306900710410838,0.020920432857512584,0.01699779528858937,0.0026278779349791495,0.013687233673801627,0.0836501240373542,al_basrah_large
month_of_year_January,0.004109883572053868,0.026089603018030226,0.022901839383391815,0.017920777050131644,0.0015214500085242275,0.008302453226495745,0.08084600625862752,al_basrah_large
hour_of_day_0,0.0037156193200452397,0.022889393916327157,0.02189730604802405,0.02036173552035867,0.0015085318422355407,0.008849740381344584,0.07922232702833525,al_basrah_large
SPM_2_dwt,3.71796455929579e-15,0.021580353466959187,0.01956412974180335,0.01222682127872244,0.012702878190811237,0.010728188840714355,0.0768023715190143,al_basrah_large
berth_4_vessel_class,3.949520615149463e-15,0.026791565229919843,0.023294524838687353,0.01645491826696197,0.0011500153372635716,0.007045044029849947,0.07473606770268662,al_basrah_large
berth_4_dwt,2.8645786804522645e-15,0.01857996788266246,0.01602757537289076,0.00818314817147925,0.018673702496253997,0.011837604869316658,0.07330199879260599,al_basrah_large
hour_of_day_5,0.0037156193200521396,0.026917328726091448,0.020666952760902878,0.007422284733709101,0.00498887256387436,0.007892635943504313,0.07160369404813424,al_basrah_large
SPM_4_dwt,2.4232848678917922e-15,0.01652398068595517,0.015338713249361547,0.014119973468636818,0.017286454042512823,0.007778193068377764,0.07104731451484654,al_basrah_large
berth_2_time,1.821085915444012e-15,0.01369883182101516,0.012072676670369565,0.013535959622650308,0.021246240665354157,0.01047453967361462,0.07102824845300562,al_basrah_large
hour_of_day_23,0.0037156193200464376,0.0147754668080014,0.015469871902816455,0.026832885117023753,0.002332014240710048,0.007888187166301162,0.07101404455489925,al_basrah_large
SPM_2_time,1.4259292723183806e-15,0.010922440017579438,0.00961895978543881,0.012475611413121018,0.026707521856161813,0.009724261563905014,0.06944879463620751,al_basrah_large
n_Suezmax_lag48,0.026092429224583123,0.002102928679315299,0.006235382168830822,0.0035182467774674624,0.015481058378888714,0.015799802722765044,0.06922984795185046,al_basrah_large
n_VLCC_lag0,0.029057669071739067,0.0031068506477444115,0.009664816063335925,0.00722088165766286,0.006570087731459081,0.012774281037755159,0.0683945862096965,al_basrah_large
hour_of_day_3,0.003715619320045626,0.017997177731893917,0.017979696127373525,0.011504340883257514,0.0013492873189736713,0.015644169306212114,0.06819029068775637,al_basrah_large
berth_3_time,1.7945642856826204e-15,0.013742563154409193,0.012030319612204597,0.0137409976816419,0.019755198520340154,0.008800531317451534,0.06806961028604917,al_basrah_large
hour_of_day_14,0.0037156193200508767,0.017343482677814076,0.012935763758244375,0.026901300806714885,0.0012802012395567667,0.0041155313741794075,0.06629189917656038,al_basrah_large
mean_wait_time72,7.956620689875425e-16,0.006674819205525316,0.005575276337679247,0.0034889169316259776,0.03890219770666185,0.010136469007050153,0.06477767918854334,al_basrah_large
n_Suezmax_lag0,0.02654067356257186,0.0034533737579416903,0.009456432207890927,0.011794966291759048,0.003988173534907976,0.008535616571458992,0.0637692359265305,al_basrah_large
Deadweight,1.5865665295825343e-15,0.0,0.0026430655727050388,0.006562034772264569,0.045822843268083335,0.008194617602076043,0.06322256121513058,al_basrah_large
month_of_year_May,0.0041098835720594865,0.015836665545787998,0.012967834334724397,0.016717526562354708,0.0005824744979092639,0.01223483679574655,0.0624492213085824,al_basrah_large
hour_of_day_21,0.0037156193200457714,0.019844387812444,0.019154229699806888,0.013223631585637574,0.0004123017497177953,0.005861885731446819,0.062212055899098846,al_basrah_large
hour_of_day_20,0.003715619320051657,0.02291823007132017,0.017534332581069675,0.011093855407072696,0.0026629401924363055,0.0021568453023972467,0.06008182287434775,al_basrah_large
mean_wait_time48,7.781175056922019e-16,0.005978860684148806,0.005372361401555056,0.01214601555380654,0.02710833020752857,0.008790398100911851,0.0593959659479516,al_basrah_large
hour_of_day_9,0.0037156193200509565,0.01615112343322204,0.012395496656154067,0.014702388541575722,0.002026998164265861,0.009308621616632989,0.058300247731901636,al_basrah_large
n_VLCC_lag48,0.029097313749557468,0.0,0.0037614736796206167,0.0036375694653684545,0.010371393429950757,0.010972214403523684,0.05783996472802097,al_basrah_large
sum_dwt_lag0,2.5630090963342148e-14,0.0,0.0007102814567860643,0.011509261743321429,0.03467356710959808,0.010862971442573883,0.057756081752305094,al_basrah_large
month_of_year_November,0.004109883572055402,0.012309210949559828,0.012236629467343994,0.017081773174463504,0.0018351580176587368,0.008972281467339716,0.056544936648421175,al_basrah_large
hour_of_day_4,0.00371561932005099,0.016684980825341138,0.012989511768797382,0.0067584229053644,0.004508022010693471,0.011830522439620622,0.056487079269868005,al_basrah_large
berth_1_time,1.2887983778194357e-15,0.009825359534187563,0.008495587386251658,0.011143858194552877,0.015252122119956616,0.009706927860777571,0.05442385509572757,al_basrah_large
n_Sub Handysize_lag0,0.004284641508923318,0.019250064182244724,0.014307771104169005,0.00825617561871909,0.00011802940214367787,0.0075826087077615605,0.05379929052396138,al_basrah_large
n_VLCC_lag12,0.024157286388676133,0.0,0.0006444539048456733,0.0023663813589012077,0.0059217458793532265,0.020191590912857563,0.053281458444633806,al_basrah_large
hour_of_day_19,0.0037156193200508273,0.015288729066900129,0.012001199453940814,0.012243282896378965,0.0014170957615261025,0.007874662765546695,0.052540589264343525,al_basrah_large
pred_berth_SPM3,0.040311549841819436,0.0,0.005274205083684403,0.0052232981687875225,0.0013877380625559861,0.0,0.05219679115684735,al_basrah_large
pred_berth_SPM3,0.040311549841819436,0.0,0.005274205083684403,0.0052232981687875225,0.0013877380625559861,0.0,0.05219679115684735,al_basrah_large
berth_3_vessel_class,2.4578553651772307e-15,0.016113658175657086,0.015001743399871023,0.015999530236572586,0.0015407512009380628,0.003233170476152899,0.051888853489194114,al_basrah_large
sum_dwt_lag48,8.347634543254839e-15,0.00014723269212346644,0.0022377251336852897,0.00325724810633571,0.03480071661306871,0.01097886002272034,0.051421782567941866,al_basrah_large
SPM_4_vessel_class,2.2766800773414233e-15,0.015061522348046924,0.014159239679840632,0.012330491104117951,0.0016436920886876735,0.007854143002053835,0.05104908822274929,al_basrah_large
sum_dwt_lag6,1.7984582018242946e-14,0.005107785676199805,0.005692351957132825,0.006494209897640998,0.02453565539922044,0.009122410481315991,0.05095241341152804,al_basrah_large
SPM_1_dwt,5.445389392190458e-16,0.005884027330531936,0.00502229590894418,0.002945228487325216,0.02416559100306873,0.012309526472103462,0.05032666920197407,al_basrah_large
mean_wait_time24,1.1690908504796214e-15,0.009520576614821934,0.008473979411355064,0.005348044747887303,0.019430998833048746,0.0058092176006262425,0.04858281720774046,al_basrah_large
n_Sub Handysize_lag12,0.003357486844002177,0.017411983970871816,0.014148763610604296,0.013401013919354665,0.00012662567750855433,0.0,0.04844587402234151,al_basrah_large
n_VLCC_lag6,0.006597679083202128,0.008096163266551396,0.004635986368588077,0.008112803402753057,0.004992493419311314,0.015401000639675219,0.04783612618008119,al_basrah_large
pred_berth_berth1,0.03361613684249794,0.0003524565226032383,0.007214676862344717,0.005901771670300733,0.0002776610359355339,0.0,0.04736270293368216,al_basrah_large
pred_berth_berth1,0.03361613684249794,0.0003524565226032383,0.007214676862344717,0.005901771670300733,0.0002776610359355339,0.0,0.04736270293368216,al_basrah_large
