feature,linear_regression,lasso_regression,ridge_regression,support_vector_regression,random_forest,xgboost,summed_value,port_name
Deadweight,1.8689825838849715e-14,0.34192332277091,0.04052401844269254,0.00015746632760658497,0.3552783014609183,0.04262277539638746,0.7805058843985336,al_jubayl
ShiptypeLevel5_Crude/Oil Products Tanker,0.007901936212946669,0.09586189242785484,0.03088896324017674,0.1939768310374496,0.0029891744308829515,0.0,0.33161879734931077,al_jubayl
total_vessels_anchor_lag12,0.04250089799710576,0.09549600095800918,0.014258427316177843,0.00046648152216405855,0.03906682462491279,0.08833320900402461,0.28012184142239427,al_jubayl
sum_dwt_lag12,2.2655188607426242e-14,0.04135229639377581,0.011315727155846741,0.001111242288359286,0.08428734889733795,0.11252490782275047,0.2505915225580929,al_jubayl
total_vessels_anchor_lag0,0.012918895696898568,0.11807800383528863,0.023490217538976767,0.00037283386253697645,0.011820010575864154,0.04852786408036956,0.21520782558993468,al_jubayl
ShiptypeLevel5_Crude Oil Tanker,0.007901936212976609,0.0,0.02940970424349044,0.13119562699010473,0.009178371194934561,0.018863557010345627,0.19654919565185197,al_jubayl
total_vessels_anchor_lag6,0.05706861914816352,0.07072619890714246,0.020083890360723514,0.0006667395292753039,0.011427612262426282,0.027985826396889676,0.1879588866046208,al_jubayl
pred_berth_berth4,0.013365785473050217,0.0,0.013818802202714892,0.1259176940284329,0.0007619395197941851,0.0,0.15386422122399218,al_jubayl
pred_berth_berth4,0.013365785473050217,0.0,0.013818802202714892,0.1259176940284329,0.0007619395197941851,0.0,0.15386422122399218,al_jubayl
sum_dwt_lag0,2.8505846786991065e-13,0.04486564218002834,0.021163883787596656,0.0006797055839150762,0.048802243290644066,0.029743887655085732,0.1452553624975549,al_jubayl
n_Aframax_lag6,0.04019217529198195,0.04901790392439933,0.018566989370069578,0.0005951108620218333,0.004408483277593693,0.004091563106356318,0.1168722258324227,al_jubayl
pred_berth_berth3,0.020985740114157055,0.0,0.008936498443156683,0.07457166526010367,0.0012328728634732633,0.0,0.10572677668089067,al_jubayl
pred_berth_berth3,0.020985740114157055,0.0,0.008936498443156683,0.07457166526010367,0.0012328728634732633,0.0,0.10572677668089067,al_jubayl
