feature,linear_regression,lasso_regression,ridge_regression,support_vector_regression,random_forest,xgboost,summed_value,port_name
SPM_1_time,8.330792221507299e-15,0.16824504258229803,0.03344697135926112,0.020109212849550282,0.06302789816565209,0.026954061915089284,0.31178318687185913,al_jubayl_large
month_of_year_July,0.0014516337448590162,0.14861593143451923,0.045960903448827806,0.015770990493970013,0.019981321204475665,0.03112174580677778,0.2629025261334295,al_jubayl_large
SPM_2_time,9.610918742859067e-15,0.1324797657666997,0.03013534470587074,0.03626345022249995,0.022849862593733727,0.014254429463979762,0.23598285275279346,al_jubayl_large
mean_wait_time3,0.23433826493481272,0.0,0.0,0.0,0.0,0.0,0.23433826493481272,al_jubayl_large
n_Aframax_lag12,0.022118622297217047,0.06492584290229586,0.0268554015179103,0.007569144094937273,0.007266983598685776,0.020556397494201985,0.14929239190524823,al_jubayl_large
n_ULCC_lag48,0.033736396115271135,0.05809903835941786,0.01761341548589638,0.0330151724275088,0.0039446851446049555,0.0,0.14640870753269913,al_jubayl_large
berth_2_dwt,2.0606979578395748e-14,0.06735724732654055,0.013582545798709886,0.007737963492607942,0.021411191517440017,0.00895577733598853,0.11904472547130754,al_jubayl_large
Deadweight,1.2006957252449724e-15,0.0,0.0009958649817720894,0.009101897803707059,0.0908236543099444,0.014408070476039985,0.11532948757146472,al_jubayl_large
SPM_2_dwt,3.381567862243712e-14,0.03117130718320028,0.009977032724187455,0.016293956911560454,0.028424530599876607,0.02596825135514206,0.11183507877400067,al_jubayl_large
total_vessels_anchor_lag48,0.07707545345345446,0.0,0.005609544152379902,0.0006369810376044259,0.006923002419890581,0.013993332866326548,0.10423831392965592,al_jubayl_large
mean_wait_time72,4.54468693710307e-15,0.019857451984023375,0.011036006147762286,0.016834966133894673,0.041915280965008454,0.014437642825179873,0.10408134805587321,al_jubayl_large
sum_dwt_lag6,1.012935004434109e-13,0.0266338588669471,0.009457746753514483,0.032823458223283176,0.018983018880839336,0.015308502189447099,0.10320658491413248,al_jubayl_large
total_vessels_anchor_lag6,0.04120846161006762,0.0,0.006134764299414145,0.01860193862623305,0.0024273005499592893,0.02669296921378959,0.09506543429946371,al_jubayl_large
n_Panamax_lag24,0.005048539050613085,0.03587014937266387,0.012280254515204399,0.01897781277046862,0.0026860278215129355,0.016586395098427353,0.09144917862889027,al_jubayl_large
berth_3_time,6.659848257499851e-16,0.026896239814065158,0.006962634205443952,0.012227894340513433,0.027835908098718144,0.013416577084481638,0.087339253543223,al_jubayl_large
SPM_1_vessel_class,5.652230497183506e-15,0.0544556592785759,0.011029400856806898,0.001549365355591979,0.006123036502434136,0.013005147478907962,0.08616260947232254,al_jubayl_large
n_ULCC_lag12,0.03934089288073083,0.006983593712767502,0.009692994359999514,0.029729323093089045,0.0,0.0,0.08574680404658688,al_jubayl_large
berth_1_dwt,8.200253878416185e-14,0.021228200905075358,0.011993363020333618,0.015407048521981366,0.021007067967432912,0.013861929317901967,0.08349760973280722,al_jubayl_large
n_Handysize_lag48,0.03438624433972853,0.0,0.006713536055817861,0.009296973561711372,0.015132181136610887,0.015587681763793645,0.0811166168576623,al_jubayl_large
n_VLCC_lag6,0.004184262721888589,0.023519799451055288,0.012379978125612439,0.04072665385544296,0.0,0.0,0.08081069415399927,al_jubayl_large
n_Handysize_lag24,0.004943737471813391,0.031532686755723356,0.014630181087209327,0.010711967585280521,0.008364030525329892,0.008716910409263916,0.0788995138346204,al_jubayl_large
n_Panamax_lag48,0.03601464310488866,0.0034624941238547407,0.010498370743287631,0.012814856007166066,0.004068558912575964,0.011905910171596031,0.0787648330633691,al_jubayl_large
SPM_1_dwt,7.337796882514806e-16,0.0,0.008163552797760374,0.0036089934682788523,0.04035262872748574,0.025032695962915286,0.07715787095644099,al_jubayl_large
n_Aframax_lag48,0.053474542140108584,0.0,0.002547422048038591,0.0020241000627776863,0.005592046969902989,0.00894951199952594,0.0725876232203538,al_jubayl_large
n_VLCC_lag12,0.004010510324572131,0.027099096803157217,0.012064343028556546,0.021369935703504716,5.901251065523641e-07,0.0,0.06454447598489717,al_jubayl_large
berth_3_vessel_class,1.626146182315283e-14,0.04985070984268241,0.008125896392261777,0.0005105003252511951,0.0026010527739967547,0.0,0.06108815933420841,al_jubayl_large
month_of_year_June,0.0014516337448366532,0.0,0.010837187399562475,0.011662447003066683,0.0035693779205751477,0.03286793949733168,0.06038858556537264,al_jubayl_large
sum_dwt_lag0,9.745265436824365e-14,0.0,8.781831481672253e-05,0.021260836149920442,0.019445315134756624,0.018437186399266222,0.05923115599885746,al_jubayl_large
n_Aframax_lag0,0.006410708396734076,0.0,0.013583282093236693,0.020886186869576308,0.00515986743795338,0.01302966236117693,0.05906970715867739,al_jubayl_large
n_ULCC_lag24,0.0456161518285531,0.0,0.0007357316074206458,0.002092848646203526,0.0003189404593442451,0.008658560567102527,0.05742223310862404,al_jubayl_large
hour_of_day_9,0.0008371753672792395,0.0,0.017010143970365287,0.004180564636767173,0.014792792565523464,0.02016221314931452,0.05698288968924968,al_jubayl_large
SPM_3_time,1.22163683605636e-15,0.0,4.9763904363472684e-05,0.01543835899973336,0.022574624117452032,0.015838689728091288,0.053901436749641374,al_jubayl_large
n_Suezmax_lag48,0.015252449537018499,0.0,0.012881398770971102,0.0010679794709777249,0.0018923484165288174,0.021726780268639948,0.05282095646413609,al_jubayl_large
mean_wait_time12,2.1219373467895763e-15,0.0017158835344370767,0.007209060290372437,0.003079068177797063,0.024197465232184603,0.01437348254582953,0.05057495978062283,al_jubayl_large
berth_2_time,2.9776567059480373e-16,0.0,0.002197991606647844,0.003620074426428168,0.029271968046448812,0.01542637370209147,0.05051640778161659,al_jubayl_large
n_Handysize_lag6,0.017332090370094602,0.0,0.0003109735008439042,0.005778286871002036,0.011283760823367328,0.014942410553449725,0.049647522118757594,al_jubayl_large
n_Aframax_lag6,0.028176913239072635,0.0,0.004057324225920133,0.012837881892401653,0.0038099495190265153,0.0,0.04888206887642094,al_jubayl_large
hour_of_day_1,0.000837175367261781,0.0,0.009322056481462202,0.011143963116688757,0.007552491012048747,0.019963181566905453,0.04881886754436694,al_jubayl_large
mean_wait_time24,1.4289017181113555e-15,0.0,0.007408356040627821,0.0020599007384055025,0.028378865046722768,0.010846889077156375,0.04869401090291389,al_jubayl_large
SPM_3_dwt,3.0134484054157384e-14,0.0,0.0031173036460542232,0.0022924574024088635,0.024420504980762966,0.018709313573738836,0.04853957960299503,al_jubayl_large
sum_dwt_lag48,8.969127377844909e-14,0.0,0.0029045525856947643,0.006639245760976562,0.02278523766524775,0.016143025134861093,0.04847206114686986,al_jubayl_large
total_vessels_anchor_lag0,0.00916313599951301,0.0,0.00018678340560494353,0.015523658043390821,0.006527069490710471,0.01665767693792664,0.048058323877145884,al_jubayl_large
sum_dwt_lag12,7.888663373115193e-14,0.0,0.010448609087770223,0.011921996294206148,0.014101698637688061,0.01097327704451039,0.04744558106425371,al_jubayl_large
