feature,linear_regression,lasso_regression,ridge_regression,support_vector_regression,random_forest,xgboost,summed_value,port_name
Deadweight,1.6780785137322469e-12,0.13460673304482693,0.04658352335636737,0.04726581981287898,0.15706313042060313,0.036024476991633456,0.42154368362798794,fujairah
sum_dwt_lag48,1.1970197795381735e-12,0.035043412555836706,0.013487691957040873,0.016218211659660964,0.08530058433029179,0.034340266007988896,0.18439016651201626,fujairah
total_vessels_anchor_lag48,0.06121524765964585,0.024487771603691512,0.012739684965867033,0.018835245243739664,0.0187533452469194,0.01598038415162343,0.1520116788714869,fujairah
sum_dwt_lag0,2.8505262958068723e-12,0.055276244531954476,0.017795476480032255,0.024152223237971,0.021445007229494106,0.009893756004844293,0.12856270748714665,fujairah
hour_of_day_11,0.0006447792347201752,0.0701225186229067,0.02821839282710748,0.010239485380595784,0.0059681055222166116,0.012504237769978745,0.1276975193575255,fujairah
total_vessels_anchor_lag0,0.019849087766764133,0.042909631308841664,0.01672597576323481,0.017474079771028418,0.0063825255595936084,0.012663844287747953,0.11600514445721058,fujairah
vessel_class,8.99175455314727e-13,0.048880767478152,0.008100200169277092,0.009069028846861114,0.032721625263674725,0.0,0.09877162175886411,fujairah
n_Aframax_lag48,0.028280095296247663,0.015110019555561493,0.011661902320428897,0.018498943587232395,0.0073952422319143165,0.014442757904461463,0.09538896089584623,fujairah
n_Handysize_lag48,0.018302916190141114,0.017800534047936505,0.010857363894688424,0.019395520758947554,0.007274441432013272,0.013531659698285773,0.08716243602201264,fujairah
n_Suezmax_lag0,0.005336458949799457,0.016323880793794637,0.019556002436748793,0.027024781467599585,0.002611887323552682,0.013828866745470897,0.08468187771696604,fujairah
n_Panamax_lag48,0.022264498621364672,0.014243203205004976,0.010474121616495103,0.011506125178808212,0.013818414823769267,0.01206455705888804,0.08437092050433026,fujairah
total_vessels_anchor_lag12,0.07070458394847876,0.0,0.0030419649246861136,5.4127696627368535e-05,0.005081092157033149,0.004266676335568954,0.08314844506239434,fujairah
berth_2_dwt,1.026883206551637e-12,0.0319930661479034,0.014810858325378687,0.011872943658795224,0.015786859132319534,0.008129226790273907,0.08259295405569762,fujairah
total_vessels_anchor_lag24,0.03602377515155967,0.011122096288266835,0.006443783041030413,0.011605377028890461,0.005648822624698048,0.00714270186225131,0.07798655599669672,fujairah
n_VLCC_lag6,0.0017945977944484532,0.025382027864913524,0.010933076334214706,0.013376098407952893,0.004910761292794027,0.011844218655265255,0.06824078034958886,fujairah
berth_2_vessel_class,1.1285481632025231e-12,0.035002693146534966,0.017260631474351962,0.011750298711803305,0.0016001047036938957,0.0,0.06561372803751268,fujairah
sum_dwt_lag24,4.773079203694885e-13,0.013972144024493085,0.008086120464779986,0.016041620617091263,0.018915113202270625,0.008591033408089942,0.06560603171720222,fujairah
n_Suezmax_lag24,0.009717254173364798,0.01859362411913162,0.010240367107925424,0.013690961577895424,0.004302894001228721,0.006860150000630048,0.06340525098017605,fujairah
hour_of_day_12,0.000644779235864942,0.02978960960616828,0.016666688931736187,0.007423877442425165,0.0004960903972711702,0.00820647743187622,0.06322752304534197,fujairah
n_Aframax_lag12,0.0326054303429462,0.008924434990945128,0.007205847783195653,0.0018337428599176447,0.0035943572905641668,0.00742773235925598,0.06159154562682477,fujairah
month_of_year_April,0.002667545482559973,0.01856668584731895,0.01089687545431522,0.01616039018157728,0.0005860457248139607,0.01216103719169742,0.061038579882282805,fujairah
n_Suezmax_lag12,0.019220260327783904,0.009146860998387955,0.00542881090844817,0.010045683885583993,0.0026701871216199963,0.013701226210519954,0.060213029452343976,fujairah
pred_berth_SPM2,0.026148144779277207,0.0007495106914999287,0.01588676505042136,0.015481776182732351,0.00017898479178943077,0.0,0.058445181495720276,fujairah
pred_berth_SPM2,0.026148144779277207,0.0007495106914999287,0.01588676505042136,0.015481776182732351,0.00017898479178943077,0.0,0.058445181495720276,fujairah
sum_dwt_lag12,6.799616299738408e-12,0.01572064961139434,0.008851883854625724,0.006841204926938878,0.013418505400363634,0.010186047365859357,0.055018291165981545,fujairah
n_VLCC_lag48,0.012303400630076297,0.0,0.002386406189374154,0.002914628934063902,0.017129563605078602,0.019344262759945996,0.05407826211853895,fujairah
n_Panamax_lag12,0.0249963606758763,0.0018636498233822838,0.00540831372883781,0.0062147872667461055,0.0045937852782896435,0.009524886125360536,0.05260178289849268,fujairah
n_VLCC_lag0,0.0039532895816664975,0.0,0.0069333522698892544,0.011847340511464676,0.012072093960682075,0.01556625379044676,0.05037233011414926,fujairah
n_Aframax_lag0,0.009175794459936997,8.340594917925945e-05,0.013099878085760916,0.014508019207603385,0.004489064180241699,0.008022222853234227,0.04937838473595648,fujairah
n_VLCC_lag24,0.007396829527005834,0.0,0.0015123919588880365,0.008501785311750673,0.012361176103740216,0.019550841497460645,0.04932302439884541,fujairah
berth_5_dwt,3.0001012709852316e-13,0.009001922894305642,0.007998242077351048,0.005858289242072366,0.017544238077466082,0.008800637183247707,0.04920332947474286,fujairah
n_Sub Handysize_lag12,0.03149889791452937,0.0,0.0052260041414542244,0.01027028121370757,0.0012841280159449485,0.0,0.04827931128563611,fujairah
mean_wait_time72,7.741922214083846e-14,0.0089011401942066,0.005559813777286324,0.0009592278607308046,0.02056455994042018,0.010975627643643748,0.04696036941636507,fujairah
n_Aframax_lag24,0.01661852487550679,0.0,0.002018868457481889,0.007789808388347061,0.007270339291297257,0.01282865661678087,0.04652619762941387,fujairah
n_VLCC_lag12,0.014339920402126888,0.0,0.0027275922193241344,0.002351875477937871,0.012479497573853708,0.013956972447655326,0.04585585812089793,fujairah
n_Sub Handysize_lag48,0.027268644376635755,0.0,0.0038604092693429798,0.002658663148015094,0.0034994607654201043,0.008155234570752262,0.0454424121301662,fujairah
month_of_year_June,0.0026675454825788635,0.012894880585427749,0.008637117615806544,0.012927730225602662,0.0004090239575490833,0.006365626943086843,0.04390192481005174,fujairah
n_Suezmax_lag48,0.01636589052176524,0.003950507904340349,0.0056642094838991195,0.0030127477547018146,0.0035704877078227733,0.010545116819679646,0.04310896019220894,fujairah
