feature,linear_regression,lasso_regression,ridge_regression,support_vector_regression,random_forest,xgboost,summed_value,port_name
Deadweight,5.813928921372507e-16,0.016928919323128934,0.01923544538846428,0.04203190858692787,0.1272185457134169,0.01285718614036184,0.21827200515230039,fujairah_large
n_Suezmax_lag48,0.008677162519846007,0.020427469738124576,0.017181684220954133,0.014592801560903984,0.07327599886573018,0.07104993607288089,0.20520505297843977,fujairah_large
n_VLCC_lag12,0.01517325073324025,0.010402169170770964,0.01189034353768183,0.021120147058751215,0.04291849877887959,0.08894707643543619,0.19045148571476006,fujairah_large
n_VLCC_lag0,0.0035688290687283285,0.0517273612557302,0.033305889931660664,0.03531977543017107,0.024988529153368157,0.026604710204846463,0.1755150950445049,fujairah_large
n_Suezmax_lag0,0.004964669568727434,0.040690352368663404,0.02574860386965075,0.02450546852904351,0.012754174889668828,0.018837757114564594,0.1275010263403185,fujairah_large
n_VLCC_lag6,0.012195582465772774,0.031001197123877968,0.018452374788502465,0.032653870498966855,0.01265273184004049,0.013333884764570952,0.1202896414817315,fujairah_large
vessel_class,5.403925446909757e-16,0.020692248487102185,0.020249766306052772,0.027496796839849034,0.04170361056103759,0.0,0.11014242219404212,fujairah_large
hour_of_day_1,0.0006045963486337696,0.04124881653990519,0.019822198105449818,0.009902674358018703,0.00721202708801085,0.022923118810935637,0.10171343125095395,fujairah_large
ShiptypeLevel5_Crude Oil Tanker,0.0009978347607505708,0.07408294277960968,0.015366731377687166,0.008195399348030817,0.0009554642717221193,0.0,0.09959837253780036,fujairah_large
n_VLCC_lag48,0.006314404441864903,0.012847548447549203,0.010925096050051626,0.0006155158070447771,0.034680976053895016,0.03268083680629867,0.0980643776067042,fujairah_large
total_vessels_anchor_lag12,0.0759803582196407,0.0,0.0026837324380459475,0.007520855082649569,0.0029267986769555884,0.006034182397563653,0.09514592681485545,fujairah_large
n_VLCC_lag24,0.011578731301686598,0.01743078696267186,0.012176068507592291,0.01536990625488887,0.015693532470362904,0.02047782820808428,0.0927268537052868,fujairah_large
n_Sub Handysize_lag12,0.031198043206293945,0.018494466298410093,0.006693995341609972,0.007732662731545707,0.002285311009500911,0.021764546745469484,0.08816902533283011,fujairah_large
total_vessels_anchor_lag48,0.03212061630766764,0.010534556101952017,0.009548864046345773,0.0086512656386683,0.008210515802665729,0.015354130284821235,0.08441994818212069,fujairah_large
