imo,type,number,start,end,Deadweight,ShiptypeLevel5,typnum,vessel_class,time_berth,trip_number,wait_time,anchor_start,anchor_number,mean_wait_time3,mean_wait_time6,mean_wait_time12,mean_wait_time24,mean_wait_time48,mean_wait_time72,sum_dwt_lag6,sum_dwt_lag24,total_vessels_anchor_lag6,total_vessels_anchor_lag24,n_Aframax_lag6,n_VLCC_lag6,n_Aframax_lag24,hour_of_day,day_of_week,month_of_year,berth_3_vessel_class,berth_1_vessel_class,berth_2_vessel_class,berth_4_vessel_class,berth_5_vessel_class,berth_3_dwt,berth_1_dwt,berth_2_dwt,berth_4_dwt,berth_5_dwt,berth_3_time,berth_1_time,berth_2_time,berth_4_time,berth_5_time,pred_berth
9722900.0,berth,2,2021-01-03 13:31:37,2021-01-04 19:38:09,299629.0,Crude Oil Tanker,berth2,VLCC,1 days 06:06:32,1.0,0 days 00:00:00,2021-01-03 13:31:37,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,13,Sunday,January,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,299629.0,0.0,0.0,0,0,0 days 00:00:00,0.0,0.0,berth2
9377418.0,berth,4,2021-01-03 19:31:02,2021-01-04 18:25:54,297958.0,Crude Oil Tanker,berth4,VLCC,0 days 22:54:52,1.0,0 days 00:00:00,2021-01-03 19:31:02,,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,19,Sunday,January,No vessel,No vessel,VLCC,VLCC,No vessel,0.0,0.0,299629.0,297958.0,0.0,0,0,0 days 05:59:25,0 days 00:00:00,0.0,berth2
9722900.0,berth,5,2021-01-04 23:03:34,2021-01-06 12:54:33,299629.0,Crude Oil Tanker,berth5,VLCC,1 days 13:50:59,2.0,0 days 02:36:23,2021-01-04 19:59:00,anchorage6,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,23,Monday,January,No vessel,No vessel,No vessel,No vessel,VLCC,0.0,0.0,0.0,0.0,299629.0,0,0,0,0,0 days 00:00:00,berth2
9597240.0,berth,2,2021-01-05 02:57:35,2021-01-06 16:38:04,299989.0,Crude Oil Tanker,berth2,VLCC,1 days 13:40:29,1.0,0 days 00:00:00,2021-01-05 02:57:35,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,299629.0,0.0,1,0,0,1,0,2,Tuesday,January,No vessel,No vessel,VLCC,No vessel,VLCC,0.0,0.0,299989.0,0.0,299629.0,0,0,0 days 00:00:00,0,0 days 03:54:01,berth2
9858486.0,berth,5,2021-01-11 15:36:40,2021-01-13 07:50:47,299999.0,Crude Oil Tanker,berth5,VLCC,1 days 16:14:07,1.0,0 days 00:00:00,2021-01-11 15:36:40,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,15,Monday,January,No vessel,No vessel,No vessel,No vessel,VLCC,0.0,0.0,0.0,0.0,299999.0,0,0,0,0,0 days 00:00:00,berth2
9858486.0,berth,2,2021-01-13 11:25:30,2021-01-14 17:44:52,299999.0,Crude Oil Tanker,berth2,VLCC,1 days 06:19:22,2.0,0 days 00:00:00,2021-01-13 11:25:30,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,11,Wednesday,January,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,299999.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9858450.0,berth,2,2021-01-18 12:00:54,2021-01-20 01:40:02,299999.0,Crude Oil Tanker,berth2,VLCC,1 days 13:39:08,1.0,0 days 00:00:00,2021-01-18 12:00:54,,,,,,,0 days 00:53:09,0.0,0.0,0,0,0,0,0,12,Monday,January,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,299999.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9461764.0,berth,3,2021-01-19 11:43:43,2021-01-20 21:25:31,164715.0,Crude Oil Tanker,berth3,Suezmax,1 days 09:41:48,1.0,0 days 00:00:00,2021-01-19 11:43:43,,,,,,,,0.0,0.0,0,0,0,0,0,11,Tuesday,January,Suezmax,No vessel,VLCC,Aframax,No vessel,164715.0,0.0,299999.0,115711.0,0.0,0 days 00:00:00,0,0 days 23:42:49,0 days 00:49:19,0,berth3
9841615.0,berth,2,2021-01-23 17:22:19,2021-01-24 18:28:22,149995.0,Crude Oil Tanker,berth2,Suezmax,1 days 01:06:03,1.0,0 days 00:00:00,2021-01-23 17:22:19,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,17,Saturday,January,No vessel,No vessel,Suezmax,No vessel,No vessel,0.0,0.0,149995.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9782522.0,berth,2,2021-01-24 23:13:18,2021-01-27 07:18:03,312328.0,Crude Oil Tanker,berth2,VLCC,2 days 08:04:45,1.0,0 days 00:32:15,2021-01-24 19:56:05,anchorage5,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,23,Sunday,January,No vessel,No vessel,VLCC,Aframax,No vessel,0.0,0.0,312328.0,112939.0,0.0,0,0,0 days 00:00:00,0 days 00:44:38,0,berth2
9731157.0,berth,2,2021-01-27 14:05:52,2021-01-29 11:02:18,299337.0,Crude Oil Tanker,berth2,VLCC,1 days 20:56:26,1.0,0 days 00:00:00,2021-01-27 14:05:52,,,0 days 00:00:00,0 days 00:16:07.500000,0 days 00:16:07.500000,0 days 00:16:07.500000,0 days 00:10:45,0.0,0.0,0,0,0,0,0,14,Wednesday,January,No vessel,Aframax,VLCC,Aframax,No vessel,0.0,109998.0,299337.0,112949.0,0.0,0,1 days 03:37:37,0 days 00:00:00,0 days 01:37:44,0,berth2
9732541.0,berth,2,2021-02-02 07:44:16,2021-02-04 10:02:10,299011.0,Crude Oil Tanker,berth2,VLCC,2 days 02:17:54,1.0,0 days 00:00:00,2021-02-02 07:44:16,,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,7,Tuesday,February,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,299011.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9590876.0,berth,2,2021-02-07 18:52:18,2021-02-09 15:04:18,318123.0,Crude Oil Tanker,berth2,VLCC,1 days 20:12:00,1.0,0 days 00:00:00,2021-02-07 18:52:18,,,,,0 days 00:05:42,0 days 00:02:51,0 days 00:02:51,0.0,0.0,0,0,0,0,0,18,Sunday,February,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,318123.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9734111.0,berth,2,2021-02-12 18:05:41,2021-02-14 11:06:57,299999.0,Crude Oil Tanker,berth2,VLCC,1 days 17:01:16,1.0,0 days 00:00:00,2021-02-12 18:05:41,,,,,,0 days 00:19:42.500000,0 days 00:13:08.333333333,0.0,0.0,0,0,0,0,0,18,Friday,February,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,299999.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9734111.0,berth,5,2021-02-14 14:46:25,2021-02-15 18:17:45,299999.0,Crude Oil Tanker,berth5,VLCC,1 days 03:31:20,2.0,0 days 00:10:12,2021-02-14 13:55:45,anchorage3,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,14,Sunday,February,No vessel,Aframax,No vessel,No vessel,VLCC,0.0,112949.0,0.0,0.0,299999.0,0,0 days 13:02:26,0,0,0 days 00:00:00,berth2
9727027.0,berth,2,2021-02-15 15:42:31,2021-02-17 09:44:56,300973.0,Crude Oil Tanker,berth2,VLCC,1 days 18:02:25,1.0,0 days 00:00:00,2021-02-15 15:42:31,,,,0 days 00:00:10,0 days 00:00:10,0 days 00:00:05,0 days 00:00:05,0.0,0.0,0,0,0,0,0,15,Monday,February,No vessel,No vessel,VLCC,No vessel,VLCC,0.0,0.0,300973.0,0.0,299999.0,0,0,0 days 00:00:00,0,1 days 00:56:06,berth2
9847114.0,berth,2,2021-02-19 18:36:48,2021-02-20 21:14:14,149999.0,Crude Oil Tanker,berth2,Suezmax,1 days 02:37:26,1.0,0 days 00:00:00,2021-02-19 18:36:48,,,,,,,0 days 00:00:00,0.0,0.0,0,0,0,0,0,18,Friday,February,Aframax,Aframax,Suezmax,No vessel,No vessel,112922.0,109900.0,149999.0,0.0,0.0,0 days 19:24:54,0 days 19:58:34,0 days 00:00:00,0,0,berth2
9365752.0,berth,2,2021-02-24 10:41:15,2021-02-26 09:03:37,319994.0,Crude Oil Tanker,berth2,VLCC,1 days 22:22:22,1.0,0 days 01:23:51,2021-02-24 08:16:15,anchorage6,,,,,0 days 00:00:00,0 days 00:19:59.666666666,0.0,0.0,0,0,0,0,0,10,Wednesday,February,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,319994.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9792266.0,berth,2,2021-03-02 15:41:02,2021-03-04 09:46:15,300852.0,Crude Oil Tanker,berth2,VLCC,1 days 18:05:13,1.0,0 days 00:00:00,2021-03-02 15:41:02,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:07:03.333333333,0.0,0.0,0,0,0,0,0,15,Tuesday,March,No vessel,Aframax,VLCC,Aframax,No vessel,0.0,109005.0,300852.0,112939.0,0.0,0,1 days 00:34:06,0 days 00:00:00,0 days 05:28:47,0,berth2
9730086.0,berth,2,2021-03-08 01:05:39,2021-03-09 17:05:52,297363.0,Crude Oil Tanker,berth2,VLCC,1 days 16:00:13,1.0,0 days 00:00:00,2021-03-08 01:05:39,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:12:56,0 days 00:08:37.333333333,0.0,0.0,0,0,0,0,0,1,Monday,March,No vessel,Aframax,VLCC,Aframax,No vessel,0.0,115857.0,297363.0,109716.0,0.0,0,0 days 06:05:58,0 days 00:00:00,0 days 02:28:40,0,berth2
9578658.0,berth,3,2021-03-15 07:32:47,2021-03-16 12:56:48,158670.0,Crude Oil Tanker,berth3,Suezmax,1 days 05:24:01,1.0,0 days 00:00:00,2021-03-15 07:32:47,,,,,,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,7,Monday,March,Suezmax,Aframax,No vessel,Aframax,No vessel,158670.0,113737.0,0.0,115857.0,0.0,0 days 00:00:00,0 days 17:30:54,0,0 days 21:41:30,0,berth3
9384617.0,berth,2,2021-03-19 00:00:21,2021-03-22 06:18:30,297168.0,Crude Oil Tanker,berth2,VLCC,3 days 06:18:09,1.0,0 days 00:00:00,2021-03-19 00:00:21,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,0,Friday,March,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,297168.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9486532.0,berth,2,2021-03-24 07:47:10,2021-03-27 03:26:37,297058.0,Crude Oil Tanker,berth2,VLCC,2 days 19:39:27,1.0,0 days 00:00:00,2021-03-24 07:47:10,,0 days 00:00:00,0 days 00:00:00,0 days 00:05:21,0 days 00:05:21,0 days 00:05:21,0 days 00:02:40.500000,0.0,0.0,0,0,0,0,0,7,Wednesday,March,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,297058.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
